What is your view on politics in us & world,Ballot used for interview,Year of birth,Household type,Number in family of r,Rs income in constant $,Family income in constant $,Rs job is useful to society,R has opportunity to advance,Rs income is high,Rs job is secure,Standard of living of r will improve,Relationship status and cohabitation or not,The highest degree r have earned,Total family income,Respondents income,How much time felt sad in past wk,How much time felt happy in past wk,How much time felt depressed in past wk,Hours of internet use on weekends,Minutes of internet use on weekends,Hours of internet use on weekdays,Minutes of internet use on weekdays,Use twitter,Use internet/apps more than occassionally,I am meeting my current goals,I see myself as successful,I expect more good things to happen to me than bad,I'm always optimistic about my future,Hours per day watching tv,How often does r read newspaper,Rs living standard compared to parents,Happiness of marriage,General happiness,Strength of affiliation,Political party affiliation,Region of interview,Respondents income,Total family income,Was r born in this country,Rs family income when 16 yrs old,Living with parents when 16 yrs old,Marital status,Number of hours usually work a week,Respondent id number,Happiness of relt with partner,Condition of health,Satisfaction with financial situation,Rs self ranking of social position,Job or housework,Is r likely to lose job,Spend evening with friends,Spend evening with relatives,Confidence in congress,Confid. in united states supreme court,Confid. in exec branch of fed govt,Confidence in education,Confidence in major companies,Can people be trusted,Is life exciting or dull,Gss year for this respondent                       
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1960,"2adlts,mar,0kids",1st person,0,11115,No issp,No issp,No issp,No issp,Not applicable,I am married and living in the same household as my husband or wife.,Not applicable,$22500 to 24999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5,Never,Not applicable,Pretty happy,Not too happy,Not very strong,Independent,W. sou. central,Not applicable,$20000 - 24999,Yes,Far below average,M and f relatives,Married,Not applicable,2262,Not applicable,Poor,Not at all sat,9,Not applicable,Not applicable,Once a year,Once a year,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Don't know,2016
Not applicable,Ballot b,1973,"2adlts,mar,0kids",1st person,38610,74880,Agree,Neither,Neither,Neither,Neither,I am married and living in the same household as my husband or wife.,Not applicable,$150000 to $169999,$75000 to $89999,Not applicable,Not applicable,Not applicable,2,0,1,0,No,Yes,Not applicable,Not applicable,Not applicable,Not applicable,1,Few times a week,Somewhat worse,Very happy,Pretty happy,Strong,Not str republican,W. sou. central,$25000 or more,$25000 or more,Yes,Average,Mother & father,Married,Not applicable,2263,Not applicable,Not applicable,More or less,6,Very satisfied,Not likely,Once a year,Sev times a mnth,Hardly any,Only some,Hardly any,Only some,Only some,Cannot trust,Not applicable,2016
Not applicable,Ballot c,1975,"1adlt,0kids",1st person,7605,7605,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,I don’t have a steady partner.,Not applicable,$15000 to 17499,$15000 to 17499,None or almost none of the time,All or almost all of the time,None or almost none of the time,0,10,0,10,No,Yes,Definitely true,Definitely true,Agree,Agree,Not applicable,Not applicable,Somewhat better,Not applicable,Not too happy,Strong,"Ind,near dem",W. sou. central,$15000 - 19999,$15000 - 19999,Yes,Average,Mother & father,Separated,Not applicable,2264,Not applicable,Good,More or less,5,Very satisfied,Not applicable,Not applicable,Not applicable,Hardly any,A great deal,A great deal,A great deal,A great deal,Cannot trust,Routine,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1974,"2adlts,mar,0kids",1st person,38610,38610,No issp,No issp,No issp,No issp,Not applicable,I am married and living in the same household as my husband or wife.,Not applicable,$75000 to $89999,$75000 to $89999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2,Few times a week,Not applicable,Very happy,Very happy,Somewhat strong,"Ind,near dem",W. sou. central,$25000 or more,$25000 or more,Yes,Average,Mother & father,Married,Not applicable,2265,Not applicable,Excellent,More or less,5,No answer,Not too likely,Sev times a mnth,Sev times a mnth,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Exciting,2016
Not applicable,Ballot c,1951,"1adlt,0kids",1st person,0,5265,No issp,No issp,No issp,No issp,Agree,Not applicable,Not applicable,$10000 to 12499,Not applicable,Some of the time,Some of the time,None or almost none of the time,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Mostly false,Definitely false,Disagree,Agree,Not applicable,Not applicable,Much worse,Not applicable,Not too happy,Not very strong,Strong democrat,W. sou. central,Not applicable,$10000 - 14999,Yes,Average,Mother & father,Widowed,Not applicable,2266,Not applicable,Fair,Not at all sat,5,Not applicable,Not applicable,Not applicable,Not applicable,Only some,Only some,Only some,Only some,A great deal,Cannot trust,Dull,2016
Not applicable,Ballot b,1997,"3adlts,2mar,sp,rel,0kids",3rd person,0,56160,No issp,No issp,No issp,No issp,Agree,I don’t have a steady partner.,Not applicable,$110000 to $129999,Not applicable,Not applicable,Not applicable,Not applicable,13,0,8,0,No,Yes,Not applicable,Not applicable,Not applicable,Not applicable,1,Never,Much better,Not applicable,Pretty happy,Not very strong,Other party,W. sou. central,Not applicable,$25000 or more,Yes,Average,Father & stpmother,Never married,Not applicable,2267,Not applicable,Not applicable,More or less,5,Not applicable,Not applicable,Sev times a mnth,Sev times a week,Hardly any,A great deal,Only some,Only some,Hardly any,Cannot trust,Not applicable,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1972,"3adlts,2mar,sp,rel,0kids",1st person,25740,65520,No issp,No issp,No issp,No issp,Not applicable,I am married and living in the same household as my husband or wife.,Associate's,$130000 to $149999,$50000 to 59999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3,Never,Not applicable,Very happy,Very happy,Not very strong,Independent,W. sou. central,$25000 or more,$25000 or more,Yes,Average,Mother & stpfather,Married,Not applicable,2268,Not applicable,Good,More or less,5,No answer,Not likely,Sev times a year,Sev times a year,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Exciting,2016
Not applicable,Ballot c,1937,"1adlt,0kids",1st person,0,74880,No issp,No issp,No issp,No issp,Agree,Not applicable,Not applicable,$150000 to $169999,Not applicable,Most of the time,None or almost none of the time,Some of the time,1,0,1,0,No,Yes,Mostly true,Slightly false,Agree,Agree,Not applicable,Not applicable,Somewhat better,Not applicable,Not too happy,Strong,Not str democrat,W. sou. central,Not applicable,$25000 or more,Yes,Below average,Mother & father,Widowed,Not applicable,2269,Not applicable,Fair,Satisfied,3,Not applicable,Not applicable,Not applicable,Not applicable,Only some,A great deal,Hardly any,Only some,A great deal,Cannot trust,Routine,2016
Not applicable,Ballot c,1970,"3adlts,2mar,sp,rel,1+kids",2nd person,0,65520,Neither,Neither,Neither,Neither,Agree,I am married and living in the same household as my husband or wife.,Not applicable,$130000 to $149999,Not applicable,None or almost none of the time,Some of the time,Some of the time,8,0,5,0,Yes,Yes,Slightly true,Slightly true,Strongly disagree,Neutral,Not applicable,Not applicable,Much better,Very happy,Not too happy,Strong,No answer,W. sou. central,Not applicable,$25000 or more,Yes,Far below average,Other,Married,Not applicable,2270,Not applicable,Good,More or less,Don't know,Mod. satisfied,Not applicable,Not applicable,Not applicable,Hardly any,Only some,Only some,A great deal,Only some,Cannot trust,Exciting,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1944,"2adlts,mar,0kids",1st person,0,8775,No issp,No issp,No issp,No issp,Not applicable,I am married and living in the same household as my husband or wife.,Not applicable,$17500 to 19999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,4,Few times a week,Not applicable,Pretty happy,Pretty happy,Not very strong,Strong republican,W. sou. central,Not applicable,$15000 - 19999,Yes,Average,Mother & father,Married,Not applicable,2271,Not applicable,Fair,Not at all sat,5,Not applicable,Not applicable,Once a year,Sev times a mnth,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Routine,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1960,"2adlts,mar,1+kids",2nd person,9945,31590,No issp,No issp,No issp,No issp,Not applicable,Not applicable,Not applicable,$60000 to 74999,$20000 to 22499,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2,Everyday,Not applicable,Very happy,Pretty happy,Strong,Not str republican,W. sou. central,$20000 - 24999,$25000 or more,No,Above average,Mother & father,Married,Not applicable,2272,Not applicable,Good,Satisfied,5,Very satisfied,Not likely,Sev times a year,Sev times a mnth,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Routine,2016
No answer,Ballot b,1958,"1adlt,0kids",1st person,0,936,No issp,No issp,No issp,No issp,Cant choose,Not applicable,Not applicable,$1 000 to 2 999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Slightly true,Don't know,Agree,Agree,8,Once a week,About the same,Not applicable,Pretty happy,Strong,Strong republican,W. sou. central,Not applicable,$1000 to 2999,Yes,Average,Mother & father,Never married,Not applicable,2273,Not applicable,Not applicable,More or less,Top,Very satisfied,Not applicable,Once a month,Once a month,Don't know,Only some,Only some,A great deal,Only some,Can trust,Not applicable,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1963,"2adlts,mar,0kids",1st person,25740,31590,No issp,No issp,No issp,No issp,Not applicable,I am married and living in the same household as my husband or wife.,Not applicable,$60000 to 74999,$50000 to 59999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5,Less than once wk,Not applicable,Pretty happy,Pretty happy,Strong,Not str republican,W. sou. central,$25000 or more,$25000 or more,Yes,Average,Mother & father,Married,Not applicable,2274,Not applicable,Fair,Satisfied,3,No answer,Not likely,Sev times a mnth,Sev times a year,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Exciting,2016
Not applicable,Ballot c,1983,"2adlts,mar,1+kids",1st person,56160,65520,Agree,Agree,Neither,Disagree,Agree,I am married and living in the same household as my husband or wife.,Not applicable,$130000 to $149999,$110000 to $129999,Some of the time,Most of the time,Some of the time,1,0,3,0,No,Yes,Slightly true,Somewhat true,Agree,Disagree,Not applicable,Not applicable,Somewhat better,Pretty happy,Pretty happy,Not very strong,Not str republican,W. sou. central,$25000 or more,$25000 or more,Yes,Average,Mother & father,Married,Not applicable,2275,Not applicable,Good,More or less,5,Mod. satisfied,Not applicable,Not applicable,Not applicable,Only some,Only some,Hardly any,Only some,Only some,Cannot trust,Exciting,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot b,1990,"1adlt,0kids",1st person,7605,7605,No issp,No issp,No issp,No issp,Neither,Not applicable,Not applicable,$15000 to 17499,$15000 to 17499,Not applicable,Not applicable,Not applicable,1,0,1,0,No,Yes,Slightly true,Mostly true,Agree,Agree,1,Less than once wk,About the same,Not applicable,Pretty happy,Not very strong,Not str democrat,W. sou. central,$15000 - 19999,$15000 - 19999,Yes,Average,Other,Separated,Not applicable,2276,Not applicable,Not applicable,Not at all sat,7,A little dissat,Not likely,Sev times a week,Sev times a week,Hardly any,Hardly any,Hardly any,Only some,Only some,Cannot trust,Not applicable,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1960,"1adlt,0kids",1st person,31590,31590,No issp,No issp,No issp,No issp,Not applicable,I don’t have a steady partner.,Not applicable,$60000 to 74999,$60000 to 74999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,4,Less than once wk,Not applicable,Not applicable,Pretty happy,Not very strong,Not str republican,W. sou. central,$25000 or more,$25000 or more,Yes,Average,Mother & father,Divorced,Not applicable,2277,Not applicable,Good,More or less,4,No answer,Not likely,Once a month,Sev times a week,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Routine,2016
Not applicable,Ballot b,1976,"2adlts,mar,1+kids",2nd person,2106,25740,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,I am married and living in the same household as my husband or wife.,Not applicable,$50000 to 59999,$4 000 to 4 999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Not applicable,Not applicable,Not applicable,Not applicable,3,Few times a week,Much worse,Pretty happy,Pretty happy,Not very strong,Other party,W. sou. central,$4000 to 4999,$25000 or more,Yes,Above average,Mother & father,Married,Not applicable,2278,Not applicable,Not applicable,Not at all sat,4,Mod. satisfied,Not too likely,Sev times a year,Sev times a mnth,Hardly any,A great deal,Hardly any,Only some,Hardly any,Cannot trust,Not applicable,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1957,"2adlts,mar,0kids",1st person,0,46800,No issp,No issp,No issp,No issp,Not applicable,I am married and living in the same household as my husband or wife.,Bachelor's,$90000 to $109999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5,Everyday,Not applicable,Very happy,Pretty happy,Not very strong,"Ind,near rep",W. sou. central,Not applicable,$25000 or more,Yes,Average,Mother & father,Married,Not applicable,2279,Not applicable,Fair,More or less,4,Not applicable,Not applicable,Once a month,Sev times a year,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Routine,2016
Not applicable,Ballot c,1957,"1adlt,0kids",1st person,3042,0,Agree,Neither,Disagree,Agree,Agree,Not applicable,Not applicable,Don't know,$6 000 to 6 999,Some of the time,All or almost all of the time,Some of the time,0,30,1,0,No,Yes,Mostly false,Mostly false,Agree,Strongly agree,Not applicable,Not applicable,Somewhat worse,Not applicable,Not too happy,Strong,Independent,W. sou. central,$6000 to 6999,Don't know,Yes,Above average,Mother & father,Widowed,Not applicable,2280,Not applicable,Fair,Not at all sat,Don't know,Mod. satisfied,Not applicable,Not applicable,Not applicable,Hardly any,Hardly any,Hardly any,Only some,Only some,Can trust,Routine,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1964,"1adlt,0kids",1st person,9945,21060,No issp,No issp,No issp,No issp,Not applicable,Not applicable,Bachelor's,$40000 to 49999,$20000 to 22499,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2,Everyday,Not applicable,Not applicable,Pretty happy,Somewhat strong,"Ind,near dem",W. sou. central,$20000 - 24999,$25000 or more,Yes,Above average,Mother & father,Separated,Not applicable,2281,Not applicable,Good,More or less,2,Mod. satisfied,Not likely,Once a month,Once a month,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Exciting,2016
"Policies in america depend on what is happening in the world economy, rather than who is in government",Ballot b,1956,"1adlt,0kids",1st person,8775,8775,No issp,No issp,No issp,No issp,Strongly agree,Not applicable,Not applicable,$17500 to 19999,$17500 to 19999,Not applicable,Not applicable,Not applicable,0,0,3,0,No,Yes,Definitely true,Definitely true,Agree,Agree,5,Never,Somewhat better,Not applicable,Not too happy,Strong,Strong democrat,W. sou. central,$15000 - 19999,$15000 - 19999,Yes,Below average,Other,Widowed,Not applicable,2282,Not applicable,Not applicable,Not at all sat,5,Very satisfied,Fairly likely,Once a year,Sev times a week,Only some,A great deal,Only some,A great deal,Only some,Can trust,Not applicable,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1989,"1adlt,0kids",1st person,7605,7605,No issp,No issp,No issp,No issp,Not applicable,I don’t have a steady partner.,Not applicable,$15000 to 17499,$15000 to 17499,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3,Never,Not applicable,Not applicable,Pretty happy,Not very strong,Not str republican,W. sou. central,$15000 - 19999,$15000 - 19999,Yes,Below average,Mother,Never married,Not applicable,2283,Not applicable,Fair,Not at all sat,4,No answer,Not applicable,Sev times a week,Almost daily,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Routine,2016
Not applicable,Ballot c,1946,"1adlt,0kids",1st person,17550,38610,Strongly agree,Strongly disagree,Strongly disagree,Agree,Neither,Not applicable,Not applicable,$75000 to $89999,$35000 to 39999,None or almost none of the time,Most of the time,None or almost none of the time,2,0,2,0,Yes,Yes,Slightly true,Somewhat true,Neutral,Strongly disagree,Not applicable,Not applicable,Much better,Very happy,Pretty happy,Somewhat strong,Not str republican,W. sou. central,$25000 or more,$25000 or more,Yes,Below average,Mother & father,Married,Not applicable,2284,Not applicable,Excellent,More or less,4,Very satisfied,Not applicable,Not applicable,Not applicable,Only some,Only some,Only some,A great deal,A great deal,Can trust,Exciting,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1978,"1adlt,0kids",1st person,0,2574,No issp,No issp,No issp,No issp,Not applicable,Not applicable,Not applicable,$5 000 to 5 999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2,Less than once wk,Not applicable,Not applicable,Not too happy,Strong,Not str democrat,W. sou. central,Not applicable,$5000 to 5999,Yes,Below average,Other,Never married,Not applicable,2285,Not applicable,Fair,Not at all sat,5,Very dissatisfied,Not applicable,Sev times a mnth,Almost daily,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Dull,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot b,1959,"1adlt,0kids",1st person,0,6435,No issp,No issp,No issp,No issp,Disagree,Not applicable,Not applicable,$12500 to 14999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Somewhat true,Slightly true,Agree,Disagree,4,Never,Somewhat better,Not applicable,Pretty happy,Strong,Strong democrat,W. sou. central,Not applicable,$10000 - 14999,Yes,Far below average,Mother & father,Never married,Not applicable,2286,Not applicable,Not applicable,Not at all sat,8,Not applicable,Not applicable,Sev times a week,Almost daily,Only some,Hardly any,Hardly any,Hardly any,Hardly any,Cannot trust,Not applicable,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1962,"1adlt,0kids",2nd person,2574,65520,No issp,No issp,No issp,No issp,Not applicable,I am married and living in the same household as my husband or wife.,Not applicable,$130000 to $149999,$5 000 to 5 999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,4,Everyday,Not applicable,Pretty happy,Pretty happy,Not very strong,Not str democrat,W. sou. central,$5000 to 5999,$25000 or more,Yes,Below average,Mother & father,Married,Not applicable,2287,Not applicable,Fair,Satisfied,5,No answer,Not likely,Once a month,Sev times a mnth,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Routine,2016
Not applicable,Ballot c,1995,"2as,ntmar,ntrel,opsex,0ks",2nd person,6435,12870,Agree,Neither,Strongly disagree,Neither,Neither,Not applicable,Not applicable,$25000 to 29999,$12500 to 14999,None or almost none of the time,Some of the time,Some of the time,2,0,0,30,Yes,Yes,Mostly false,Definitely false,Agree,Strongly disagree,Not applicable,Not applicable,About the same,Not applicable,Pretty happy,Somewhat strong,Independent,W. sou. central,$10000 - 14999,$25000 or more,Yes,Below average,Female relative,Never married,Not applicable,2288,Pretty happy,Fair,Not at all sat,6,A little dissat,Not applicable,Not applicable,Not applicable,Hardly any,Only some,Hardly any,A great deal,Only some,Cannot trust,Exciting,2016
Don't know,Ballot a,1933,"1adlt,0kids",1st person,0,4212,No issp,No issp,No issp,No issp,Not applicable,Not applicable,Not applicable,$8 000 to 9 999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3,Few times a week,Not applicable,Not applicable,Pretty happy,Strong,Strong democrat,W. sou. central,Not applicable,$8000 to 9999,No,Below average,Mother & father,Widowed,Not applicable,2289,Not applicable,Fair,More or less,5,Not applicable,Not applicable,Sev times a week,Almost daily,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Exciting,2016
Not applicable,Ballot c,1970,"2adlts,mar,0kids",2nd person,1638,11115,Strongly agree,Agree,Disagree,Agree,Agree,I am married and living in the same household as my husband or wife.,Not applicable,$22500 to 24999,$3 000 to 3 999,None or almost none of the time,All or almost all of the time,None or almost none of the time,0,0,2,0,No,Yes,Definitely true,Somewhat true,Agree,Strongly disagree,Not applicable,Not applicable,Much better,Very happy,Pretty happy,Strong,Independent,W. sou. central,$3000 to 3999,$20000 - 24999,Yes,Average,Other,Married,Not applicable,2290,Not applicable,Excellent,More or less,4,Very satisfied,Not applicable,Not applicable,Not applicable,Only some,A great deal,Only some,A great deal,Only some,Cannot trust,Exciting,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot b,1998,"3adlts,2mar,sp,rel,1+kids",3rd person,0,0,No issp,No issp,No issp,No issp,Neither,Not applicable,Not applicable,Refused,Not applicable,Not applicable,Not applicable,Not applicable,3,0,4,0,No,Yes,Somewhat true,Mostly false,Neutral,Neutral,0,Never,Somewhat better,Not applicable,Not too happy,Strong,Independent,W. sou. central,Not applicable,Refused,Yes,Below average,Mother & father,Never married,Not applicable,2291,Not applicable,Not applicable,More or less,7,No answer,Not applicable,Sev times a mnth,Almost daily,Only some,A great deal,Only some,Only some,Only some,Cannot trust,Not applicable,2016
Not applicable,Ballot c,1992,"2adlts,dkmar,1+kids",1st person,38610,46800,Agree,Agree,Agree,Agree,Agree,"I have a steady partner, and we live in the same household.",Not applicable,$90000 to $109999,$75000 to $89999,None or almost none of the time,All or almost all of the time,None or almost none of the time,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Slightly true,Somewhat true,Agree,Agree,Not applicable,Not applicable,Somewhat better,Not applicable,Very happy,Not very strong,Other party,W. sou. central,$25000 or more,$25000 or more,Yes,Above average,Mother & father,Never married,Not applicable,2292,Very happy,Good,Satisfied,3,Very satisfied,Not applicable,Not applicable,Not applicable,Hardly any,Hardly any,Hardly any,Only some,Only some,Cannot trust,Routine,2016
Not applicable,Ballot c,1979,"4+adlts,2mar,0kids",3rd person,0,38610,Strongly agree,Strongly agree,Agree,Agree,Agree,I don’t have a steady partner.,Not applicable,$75000 to $89999,Not applicable,None or almost none of the time,Most of the time,None or almost none of the time,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Somewhat true,Mostly true,Agree,Agree,Not applicable,Not applicable,Much better,Not applicable,Not too happy,No religion,Independent,W. sou. central,Not applicable,$25000 or more,Yes,Average,Mother & stpfather,Divorced,Not applicable,2293,Not applicable,Good,More or less,5,Mod. satisfied,Not applicable,Not applicable,Not applicable,Only some,A great deal,Only some,A great deal,A great deal,Cannot trust,Routine,2016
"Policies in america depend on what is happening in the world economy, rather than who is in government",Ballot a,1969,"2adlts,mar,1+kids",1st person,0,38610,No issp,No issp,No issp,No issp,Not applicable,I am married and living in the same household as my husband or wife.,Not applicable,$75000 to $89999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2,Never,Not applicable,Pretty happy,Pretty happy,Not very strong,"Ind,near dem",W. sou. central,Not applicable,$25000 or more,No,Below average,Mother & father,Married,Not applicable,2294,Not applicable,Good,More or less,5,Not applicable,Not applicable,Sev times a mnth,Once a month,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Exciting,2016
Not applicable,Ballot c,1992,"2as,ntmar,ntrel,opsex,1+ks",1st person,8775,8775,Agree,Agree,Disagree,Agree,Agree,Not applicable,Not applicable,$17500 to 19999,$17500 to 19999,None or almost none of the time,All or almost all of the time,Some of the time,10,0,5,0,No,Yes,Somewhat true,Somewhat true,Neutral,Agree,Not applicable,Not applicable,About the same,Not applicable,Very happy,Not very strong,Independent,W. sou. central,$15000 - 19999,$10000 - 14999,Yes,Average,Mother & stpfather,Never married,Not applicable,2295,Not applicable,Good,More or less,6,Very satisfied,Not applicable,Not applicable,Not applicable,Hardly any,Only some,Only some,Only some,Only some,Cannot trust,Exciting,2016
Not applicable,Ballot c,1950,"2adlts,mar,0kids",1st person,7605,25740,Agree,Disagree,Disagree,Agree,Agree,I am married and living in the same household as my husband or wife.,Not applicable,$50000 to 59999,$15000 to 17499,None or almost none of the time,Most of the time,Some of the time,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Slightly true,Somewhat true,Agree,Agree,Not applicable,Not applicable,Much better,Pretty happy,Pretty happy,Strong,Strong democrat,W. sou. central,$15000 - 19999,$25000 or more,No,Average,Mother & father,Married,Not applicable,2296,Not applicable,Good,More or less,3,Mod. satisfied,Not applicable,Not applicable,Not applicable,Only some,A great deal,Only some,A great deal,Only some,Cannot trust,Routine,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot b,1953,"2adlts,mar,0kids",2nd person,0,38610,No issp,No issp,No issp,No issp,Disagree,Not applicable,Not applicable,$75000 to $89999,Not applicable,Not applicable,Not applicable,Not applicable,1,0,1,0,No,Yes,Slightly false,Mostly false,Agree,Neutral,6,Everyday,Much better,Very happy,Very happy,Strong,"Ind,near rep",W. sou. central,Not applicable,$25000 or more,Yes,Below average,Mother & father,Married,Not applicable,2297,Not applicable,Not applicable,More or less,2,Not applicable,Not applicable,Once a month,Once a year,Hardly any,Hardly any,Hardly any,Only some,Only some,Cannot trust,Not applicable,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1958,"2adlts,mar,0kids",1st person,25740,31590,No issp,No issp,No issp,No issp,Not applicable,I am married and living in the same household as my husband or wife.,Not applicable,$60000 to 74999,$50000 to 59999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2,Less than once wk,Not applicable,Pretty happy,Not too happy,Strong,Strong republican,W. sou. central,$25000 or more,$25000 or more,Yes,Below average,Mother & father,Married,Not applicable,2298,Not applicable,Good,Not at all sat,4,No answer,Not applicable,Never,Once a year,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Routine,2016
Not applicable,Ballot b,1974,"4+adlts,2mar,1+kids",5th person,936,56160,No issp,No issp,No issp,No issp,Strongly agree,I am married and living in the same household as my husband or wife.,Not applicable,$110000 to $129999,$1 000 to 2 999,Not applicable,Not applicable,Not applicable,3,0,5,0,No,Yes,Not applicable,Not applicable,Not applicable,Not applicable,8,Never,Much better,Very happy,Very happy,Strong,Independent,W. sou. central,$1000 to 2999,$25000 or more,Yes,Below average,Mother & father,Married,Not applicable,2299,Not applicable,Not applicable,Satisfied,3,Very satisfied,Not applicable,Sev times a year,Almost daily,Only some,Only some,Only some,A great deal,A great deal,Cannot trust,Not applicable,2016
